timestamp,actual_load_x,actual_load_y,drone1_pose_x,drone1_pose_y,drone1_pose_z,drone1_velocity_x,drone1_velocity_y,drone1_velocity_z,cable1_tension,drone1_control_x,drone1_control_y,drone1_control_z,attachment_point1_x,attachment_point1_y,drone2_pose_x,drone2_pose_y,drone2_pose_z,drone2_velocity_x,drone2_velocity_y,drone2_velocity_z,cable2_tension,drone2_control_x,drone2_control_y,drone2_control_z,attachment_point2_x,attachment_point2_y,drone3_pose_x,drone3_pose_y,drone3_pose_z,drone3_velocity_x,drone3_velocity_y,drone3_velocity_z,cable3_tension,drone3_control_x,drone3_control_y,drone3_control_z,attachment_point3_x,attachment_point3_y,drone4_pose_x,drone4_pose_y,drone4_pose_z,drone4_velocity_x,drone4_velocity_y,drone4_velocity_z,cable4_tension,drone4_control_x,drone4_control_y,drone4_control_z,attachment_point4_x,attachment_point4_y
1756810459.064502,-0.722918,0.040231,-1.885535,0.357884,0.282495,-0.041610,0.069560,0.016169,0.078751,-0.295123,0.337744,-0.036493,-0.922917,0.039564,-1.292886,1.100696,0.218338,-0.010873,0.040165,0.008451,0.078869,-0.166421,0.406297,0.099497,-0.922917,0.039564,-1.774323,-0.032070,0.497101,-0.003864,0.068075,0.004148,0.061149,0.103887,0.408197,-0.158376,-0.922917,0.039564,-1.739265,0.711053,0.328793,-0.024939,0.059575,0.006897,0.079005,-0.289901,0.321285,0.123532,-0.922917,0.039564
1756810459.226029,-0.731852,0.041186,-1.891645,0.367987,0.284891,-0.046385,0.075846,0.018272,0.078723,-0.241582,0.376585,-0.048291,-0.931851,0.040519,-1.293341,1.106415,0.219897,-0.001580,0.038276,0.010867,0.078942,-0.053719,0.437376,0.092399,-0.931851,0.040519,-1.775528,-0.017473,0.502731,-0.023613,0.131529,0.051026,0.059292,0.145252,0.220033,-0.364676,-0.931851,0.040519,-1.742397,0.719649,0.330982,-0.026687,0.063172,0.020314,0.078917,-0.232124,0.378949,0.071194,-0.931851,0.040519
1756810459.430524,-0.738602,0.041590,-1.895916,0.375775,0.286486,-0.038235,0.079565,0.012934,0.078594,-0.283428,0.348374,-0.028368,-0.938601,0.040923,-1.292809,1.110389,0.220763,0.012130,0.042207,0.006972,0.078983,-0.158584,0.409062,0.100950,-0.938601,0.040923,-1.777603,-0.004174,0.506748,-0.021441,0.131326,0.028663,0.057977,0.114776,0.330796,-0.282667,-0.938601,0.040923,-1.745375,0.725596,0.332436,-0.031440,0.053437,0.008430,0.078956,-0.284415,0.329704,0.113712,-0.938601,0.040923
1756810459.601928,-0.744814,0.042799,-1.900238,0.385033,0.287843,-0.034981,0.076079,0.012004,0.078811,-0.241916,0.378599,-0.025906,-0.944813,0.042132,-1.291735,1.115521,0.221297,0.006580,0.043841,0.002770,0.078955,-0.052923,0.431944,0.115560,-0.944813,0.042132,-1.779258,0.010528,0.508787,-0.010870,0.122392,0.005555,0.056779,0.142517,0.382885,-0.188652,-0.944813,0.042132,-1.749100,0.731148,0.332407,-0.029340,0.043970,-0.006607,0.079084,-0.215893,0.359139,0.164362,-0.944813,0.042132
1756810459.762285,-0.751966,0.044238,-1.904371,0.394393,0.289483,-0.036082,0.073452,0.015987,0.078783,-0.239843,0.378058,-0.045272,-0.951964,0.043571,-1.291644,1.121005,0.221694,-0.008659,0.046216,0.001600,0.078929,-0.043887,0.431481,0.120953,-0.951964,0.043571,-1.779499,0.024441,0.508125,0.011519,0.105125,-0.007167,0.054899,0.253169,0.348696,-0.129686,-0.951964,0.043571,-1.752777,0.736761,0.332120,-0.033891,0.049771,0.004917,0.078970,-0.219142,0.371981,0.127145,-0.951964,0.043571
1756810459.979539,-0.758122,0.045778,-1.907921,0.402382,0.291419,-0.035427,0.083853,0.019923,0.078819,-0.258588,0.362701,-0.063877,-0.958121,0.045111,-1.293144,1.125453,0.221925,-0.010275,0.044360,0.003801,0.078878,-0.065446,0.431485,0.110587,-0.958121,0.045111,-1.778022,0.035010,0.509379,0.011976,0.116084,0.026862,0.053204,0.149771,0.314857,-0.284489,-0.958121,0.045111,-1.755403,0.742995,0.333122,-0.020717,0.066692,0.013742,0.078983,-0.242150,0.367557,0.093792,-0.958121,0.045111
1756810460.185655,-0.766932,0.047249,-1.912684,0.414560,0.293768,-0.034210,0.087699,0.013858,0.078743,-0.255762,0.367870,-0.041932,-0.966931,0.046583,-1.293571,1.131533,0.222508,0.001546,0.043496,0.006695,0.078917,-0.082998,0.430879,0.100689,-0.966931,0.046583,-1.776862,0.051680,0.514485,0.008585,0.123128,0.041236,0.051032,0.152731,0.234252,-0.352561,-0.966931,0.046583,-1.758280,0.752498,0.335780,-0.030900,0.062140,0.016157,0.079030,-0.246392,0.367395,0.082635,-0.966931,0.046583
1756810460.383442,-0.774320,0.048256,-1.916747,0.425009,0.295321,-0.031571,0.086036,0.011739,0.078697,-0.256038,0.368399,-0.035033,-0.974318,0.047589,-1.292576,1.136658,0.223457,0.012140,0.040056,0.008864,0.078953,-0.147844,0.415331,0.091227,-0.974318,0.047589,-1.774736,0.066461,0.518739,0.019200,0.127063,0.027582,0.048873,0.188240,0.267773,-0.308810,-0.974318,0.047589,-1.761908,0.758954,0.336497,-0.026444,0.046090,-0.002273,0.079097,-0.271005,0.327373,0.148091,-0.974318,0.047589
1756810460.566703,-0.781524,0.049186,-1.920340,0.435298,0.296614,-0.027174,0.086258,0.010065,0.078573,-0.261132,0.365286,-0.029609,-0.981522,0.048519,-1.291544,1.141589,0.224223,0.011452,0.043688,0.005874,0.079010,-0.094414,0.429199,0.097340,-0.981522,0.048519,-1.769514,0.081056,0.522352,0.057644,0.120260,0.031253,0.045970,0.160253,0.251496,-0.337001,-0.981522,0.048519,-1.764992,0.764745,0.336320,-0.026089,0.055745,-0.003285,0.078973,-0.222961,0.361015,0.150097,-0.981522,0.048519
1756810460.777528,-0.787638,0.051124,-1.923557,0.445808,0.298595,-0.028163,0.089941,0.020087,0.078795,-0.268694,0.353543,-0.072881,-0.987637,0.050458,-1.291111,1.147029,0.224551,-0.005243,0.046512,0.000032,0.078925,-0.126633,0.415283,0.119048,-0.987637,0.050458,-1.764748,0.096026,0.525225,0.026730,0.126724,0.012126,0.043722,0.140911,0.337570,-0.262089,-0.987637,0.050458,-1.767742,0.771997,0.336794,-0.016704,0.067507,0.008815,0.079155,-0.275213,0.340019,0.105797,-0.987637,0.050458
